0.0612	0.0000	0.5007	0.4381	0.2222
0.4475	0.0178	0.5100	0.0246	0.3098
0.2284	0.2155	0.0041	0.5520	0.2773
0.0782	0.0120	0.4076	0.5022	0.2863
0.0039	0.2353	0.2988	0.4620	0.2507
0.0043	0.2179	0.0665	0.7112	0.3031
0.4668	0.0138	0.2331	0.2863	0.2910
0.0876	0.0722	0.4241	0.4161	0.3037
0.1906	0.0223	0.3250	0.4620	0.3068
0.1645	0.0223	0.4663	0.3469	0.2968
0.0692	0.4526	0.0171	0.4612	0.2473
0.3769	0.1567	0.0135	0.4529	0.3031
0.4920	0.0111	0.2499	0.2469	0.2942
0.0631	0.0770	0.4202	0.4397	0.3076
0.1035	0.0215	0.5138	0.3613	0.2894
0.7929	0.1289	0.0326	0.0455	0.2843
0.7177	0.0257	0.2501	0.0065	0.2598
0.1161	0.4286	0.0093	0.4460	0.2337
0.0000	0.1017	0.4126	0.4857	0.2165
0.0639	0.0860	0.4244	0.4257	0.3049
0.7684	0.0487	0.1829	0.0000	0.2571
0.2914	0.3238	0.0262	0.3586	0.2910
0.0000	0.0625	0.5443	0.3933	0.2235
0.3610	0.2130	0.0113	0.4147	0.2795
0.0707	0.2981	0.0268	0.6044	0.2978
0.6748	0.1477	0.0065	0.1710	0.3007
0.1516	0.0000	0.3620	0.4863	0.2893
0.4390	0.0079	0.5110	0.0420	0.3088
0.3983	0.0119	0.4258	0.1640	0.2936
0.6626	0.1292	0.2008	0.0074	0.3116
0.0157	0.2089	0.2671	0.5083	0.2705
0.8946	0.0292	0.0100	0.0661	0.2439
0.8853	0.0074	0.1035	0.0038	0.2122
0.3696	0.4300	0.0132	0.1872	0.3052
0.3689	0.0193	0.2461	0.3657	0.3090
0.0726	0.0637	0.4415	0.4223	0.2977
0.7065	0.2385	0.0150	0.0400	0.2906
0.1688	0.4262	0.0224	0.3827	0.2792
0.0057	0.1290	0.3753	0.4900	0.2446
0.0166	0.0623	0.4865	0.4346	0.2692
0.0891	0.0706	0.4318	0.4086	0.3012
0.2580	0.2486	0.0141	0.4793	0.2758
0.0823	0.0105	0.4163	0.4909	0.2849
0.1635	0.0271	0.4642	0.3453	0.3098
0.4325	0.0068	0.3744	0.1862	0.2835
0.0785	0.3926	0.0334	0.4956	0.2814
0.6939	0.1424	0.1423	0.0214	0.2712
0.4605	0.2713	0.0241	0.2440	0.2985
0.3212	0.0000	0.5460	0.1328	0.2786
0.4610	0.2712	0.0259	0.2418	0.3042
0.6671	0.1902	0.1349	0.0078	0.3122
0.8733	0.0259	0.0619	0.0389	0.2801
0.1796	0.0138	0.3598	0.4469	0.2872
0.2348	0.4298	0.0234	0.3120	0.2781
0.7842	0.1360	0.0453	0.0345	0.2884
0.0646	0.0112	0.4102	0.5139	0.2872
0.0523	0.3027	0.0324	0.6127	0.3105
0.0512	0.3068	0.0300	0.6120	0.3053
0.3255	0.0088	0.5432	0.1224	0.3107
0.1510	0.3876	0.0172	0.4442	0.2781
0.6866	0.0292	0.2256	0.0585	0.2945
0.2369	0.2184	0.0044	0.5403	0.2774
0.1712	0.4334	0.0237	0.3718	0.2914
0.0316	0.1863	0.3616	0.4205	0.3090
0.8583	0.0636	0.0094	0.0687	0.2822
0.7782	0.0399	0.1737	0.0082	0.2550
0.8580	0.0449	0.0394	0.0577	0.2905
