----	-Cosp-	-Dupl-	-Swit-	-Loss-	-Dist-
2	0.0000	0.3179	0.1949	0.4872	0.2291
43	0.0733	0.4563	0.0069	0.4635	0.2305
35	0.1122	0.4415	0.0008	0.4455	0.2266
42	0.1166	0.4313	0.0019	0.4502	0.2231
Summar	------	------	------	------	------
Min	0.0000	0.3179	0.0008	0.4455	0.2231
Q1	0.0550	0.4030	0.0016	0.4490	0.2257
Med	0.0927	0.4364	0.0044	0.4568	0.2278
Mean	0.0755	0.4118	0.0511	0.4616	0.2273
Q3	0.1133	0.4452	0.0539	0.4694	0.2294
Max	0.1166	0.4563	0.1949	0.4872	0.2305
Normal	------	------	------	------	------
Nmed	0.0937	0.4407	0.0044	0.4613	------
Nmean	0.0755	0.4118	0.0511	0.4616	------
